number	title	artist	lyrics
04689	BLUE EYES	Elton John	Blue eyes baby's got blue eyes like a deep
04817	CAN YOU FEEL THE LOVE TONIGHT	Elton John	There's a calm surrender to the rush of day
04873	CANDLE IN THE WIND	Elton John	Goodbye England's rose may ...
19428	CIRCLE OF LIFE	Elton John	From the day we arrive on the planet
04622	CROCODILE ROCK	Elton John	I remember when Rock was young me and
04697	DANIEL	Elton John	Daniel is travelin' tonight on a plane
04701	DON'T GO BREAKING MY HEART	Elton John	Don't go breaking my heart
09103	EMPTY GARDEN	Elton John	What happened here as the New York sun
04709	FRIENDS	Elton John	I hope the day will be a lighter highway
04710	GOODBYE YELLOW BRICK ROAD	Elton John	When are you gonna come down
05914	I DON'T WANNA GO ON WITH YOU LIKE THAT	Elton John	I've always said that one's enough to love
20245	I GUESS THAT`S WHY THEY CALL IT THE BLUES	Elton John	Don`t wish it away
19986	IM STILL STANDING	Elton John	You could never know what
05934	LITTLE JEANNIE	Elton John	Oh little Jeannie you got so much love
04744	NIKITA	Elton John	Hey Nikita is it cold ...
09162	ROCKET MAN	Elton John	She packed my bags last night preflight
04764	SACRIFICE	Elton John	It's a human sign when things go wrong
05962	SAD SONGS	Elton John	Guess there are times
04768	SKYLINE PIGEON	Elton John	Turn me loose from your hands
20414	SOMEONE SAVED MY LIFE TONIGHT	Elton John	When I think of those East End lights
19478	THE ONE	Elton John	I saw you dancing out the ocean
20310	TINY DANCER	Elton John	Blue jean baby L.A. lady
19989	YOU GOTTA LOVE SOMEONE	Elton John	You can win the fight
09079	YOUR SONG	Elton John	It's a little bit funny this feeling in
20432	AFTER ALL	Elton John - Charlie Puth	I lie awake and realize that you´re better than
04818	DON'T LET THE SUN GO DOWN ON ME	Elton John - George Michael	I can't light no more of your darkness
04964	SHE	Elvis Costello	She maybe the face I can't...
19721	(YOU'RE THE) DEVIL IN DISGUISE	Elvis Presley	You look like an angel you look like an
20381	A LITTLE LESS CONVERSATION	Elvis Presley	A little less conversation a little more action
19563	ALL SHOOK UP	Elvis Presley	Well bless my soul what's wrong with me
04566	ARE YOU LONESOME TONIGHT	Elvis Presley	Are you lonesome tonight? Do you miss me
20441	BLUE CHRISTMAS	Elvis Presley	Ho ho... Blue Christmas with you
04618	BURNING LOVE	Elvis Presley	Lord almighty higher higher it's burning thru'
04572	CAN'T HELP FALLIN' IN LOVE	Elvis Presley	Wise man say only fools rush in but I can't
04700	DON'T BE CRUEL	Elvis Presley	Ah, you know I can be found
19695	FOOL	Elvis Presley	Fool you didn't have to hurt her
19101	HEARTBREAK HOTEL	Elvis Presley	Well since my baby left me
19125	HOUND DOG	Elvis Presley	You ain't nothin' but a hound do
04632	I REALLY DON'T WANT TO KNOW	Elvis Presley	How many arms have held you
19975	IF I CAN DREAM	Elvis Presley	There must be lights burning
09126	IN THE GHETTO	Elvis Presley	As the snow flies
04524	IT'S NOW OR NEVER	Elvis Presley	It's now or never come hold me tight
19110	JAILHOUSE ROCK	Elvis Presley	The warden threw a party...
04731	KISS ME QUICK	Elvis Presley	Mmm, Kiss me quick ...
04537	LOVE ME TENDER	Elvis Presley	Love me tender love me sweet
09159	RETURN TO SENDER	Elvis Presley	Return to sender return to
04778	SURRENDER	Elvis Presley	When we kiss my heart's on
04779	SUSPICIOUS MINDS	Elvis Presley	We're caught in a trap I can't walk out
19918	SYLVIA	Elvis Presley	These long lonely evenings
09274	TEDDY BEAR	Elvis Presley	A-baby let me be your lovin' teddy
04982	THE WONDER OF YOU	Elvis Presley	When no one else can understand me
09188	TOO MUCH	Elvis Presley	Well honey I love you too much
19840	TROUBLE	Elvis Presley	If youre looking for trouble
20280	YOU DON T HAVE TO SAY YOU LOVE ME	Elvis Presley	When I said I needed you
04810	YOU'VE LOST THAT LOVIN' FEELIN'	Elvis Presley	You never close your eyes
20193	FEVER	Elvis Presley - Michael Buble	Never know how much I love you
01791	AMOR SEM CENSURA	Elymar Santos	Se a cabeça não pensar
01942	CORAÇÃO VADIO	Elymar Santos	Coração cigano coração vadio
07942	DEZ A DEZ	Elymar Santos	Eu gosto tanto dessas nossas aventura
04237	JAMAIS DEIXEI DE AMAR VOCÊ	Elymar Santos	Tá certo, não tenho palavras pra me
01794	MAL DE AMOR	Elymar Santos	Independe de mim ...
04091	PÔXA	Elymar Santos	Pôxa... Como foi bacana te ...
15756	TARAS E MANIAS	Elymar Santos	Quando você vem com essa cara de menina
01798	TEU JOGO	Elymar Santos	Conheço esse jogo ...
